frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,Action Label
0,624,258.25,628,249.5,625,249.75,650.5,252.25,667.5,249.125,666,309.5,691.5,297.5,674,391,696,380,673,463,679,448.5,678,447,707.5,441,656.5,535,724,528,634.5,616.5,746.5,612,Walking
1,618,260,621.5,251.25,618.5,251.625,644,254.375,660.5,251.125,658.5,312.25,684.5,299.5,670,394,691,381,675.5,465.5,678,449.25,672.5,446.5,701.5,440,651,533.5,720,526.5,627.5,616,746,610.5,Walking
2,611.5,260.5,615,252,613,252.25,637,256,656.5,252.625,650.5,312.75,678,301.5,665,392.5,687,381.25,676.5,464.5,681,451.25,664,447,693.5,441,644.5,533,715.5,525.5,625.5,616.5,746,609.5,Walking
3,604,261,608,252.5,605.5,252.75,630.5,256,648.5,252.875,643,314.25,673,303.5,660.5,394,686,383.5,676,463,682.5,452.75,655.5,449,686,443,639,535,710.5,525.5,623,618,745.5,608,Walking
4,598,260,602.5,252,600,252,623,256.75,642.5,253.125,634.5,315.5,666.5,304.5,654.5,394,680.5,381,672,461.5,680,449.75,645,451,677.5,444.25,634.5,539,703,525.5,620.5,619,742.5,605.5,Walking
5,589.5,258.5,594.5,250.5,592,250.375,615.5,256.5,635.5,251.875,626.5,314.5,659,303.25,648,391.5,675.5,379,665.5,459.5,671.5,447.5,636,453.5,669,446.25,630.5,540,695.5,526,619,619.5,739.5,603,Walking
6,584,258.5,588,250.25,585,250.125,607,257,630.5,252.875,615.5,316.5,656,305.25,635,392,673,379.5,657.5,458.5,672,446.25,627.5,451,660.5,443.5,626,541,684,522,618,621,734,595.5,Walking
7,572.5,257.75,576.5,249.375,574,248.875,599,255.5,621.5,251.625,606,315.25,648,305.25,624.5,391.25,660.5,380,647,457.25,660,445.75,619,448.5,652.5,441.25,621.5,541,673,519,618,621.5,729.5,591.5,Walking
8,566.5,259.5,570.5,251.375,567,251.375,591.5,256.25,615.5,253.125,599,315.5,641,305,615.5,392.75,653,378.25,634,457.25,650,443.5,610.5,447,643.5,440.5,618.5,538,661.5,520,618.5,621,722.5,588,Walking
9,559.5,260.5,564.5,251.875,559.5,251.875,584.5,257,610,254.625,590.5,316.75,635.5,306,603.5,395,640.5,380.75,617.5,460.5,630.5,443.75,604.5,447.75,637.5,441.75,616,536,646,519,620.5,620.5,711,582,Walking
10,553.5,261.75,557,253.25,554,252.75,576.5,258.5,600.5,255.5,581.5,319,628,306.25,592,396,634,378.25,601.5,460.25,626,438,602,447.75,633,440.25,612.5,536,632.5,517.5,619,621,699,579,Walking
11,545.5,262,549.5,253.625,547,253.25,569,258.5,593,255.375,575.5,319.5,621.5,306.25,583,398,632,375.25,583.5,461.5,633,430.5,599,446.5,629,439.5,610,533.5,621,518.5,620.5,618,685,578.5,Walking
12,538,263.5,542,254.75,538.5,254.625,561,259,585.5,257,569,318,616.5,307.25,569.5,394.25,625.5,376,567.5,456.25,628,428.25,592,446.5,621.5,440.5,606.5,531.5,610.5,516.5,620.5,616,668.5,577,Walking
13,531,265,534,256,531.5,255.875,555,259.75,579,258.25,561.5,319.5,608.5,307.5,558,396.75,619.5,376.25,547,460.5,626,427.5,584,448.25,614,440.25,603.5,534,602,513.5,623,617.5,648.5,579,Walking
14,524,264.75,527,256.75,525.5,256,547,260.75,573,257.5,553.5,319.75,602.5,307.5,546,396,614.5,374.25,530,459.5,622,424.75,578,444.75,607.5,437.75,597,532,595,517,621,614,632,586,Walking
15,517.5,264,521,256,519.5,255.375,540.5,261.75,566,257.5,546.5,319.25,595.5,307.25,535.5,394.5,606,374,514.5,456,616,425.5,574,442.25,601,436,591,527.5,571.5,508.5,616.5,615.5,609.5,581.5,Walking
16,510,265,514,257.5,511.5,257.25,534,261.75,557,257,539,320,588,307.5,526.5,393,601,374,502.5,450.25,608.5,426.5,568.5,443.5,594,437.5,586,527,565,512,618,611.5,596,588,Walking
