frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,Action Label
0,509,223.25,513,218,503.25,218.875,519.5,219.5,494.5,221.5,534,244,487.5,252.375,545,279.5,486.5,291.5,552,313.5,493.5,324.75,540.5,318,510.75,322.75,552,368,518,373,553.5,414.5,521.5,415,Walking
1,511.75,223.375,515.5,218.125,505.75,219.125,521,219.125,496.5,221.5,535.5,244,489,252.125,546.5,279.5,488,292.25,553,313,496,327.25,541,318.25,511.75,323,553,368,518.5,373,557,415,522,415.5,Walking
2,514.5,223.625,518,218.375,508.5,219.375,523,219.875,498.75,222.125,537,244.25,491,252.75,547.5,279.75,489.5,292.5,554.5,312.75,498,327,542.5,318.5,513,323,555,368.5,519,373,561,416.25,522.5,415,Walking
3,517,223.75,521,218.5,511,219.375,526,220,501.5,222.125,539.5,245,493.25,253,549,281,490.75,292.5,555.5,315,499.25,326.5,544,319.25,514.5,323.25,556.5,369.25,519.5,373.5,563,417,522,415,Walking
4,521,224,524.5,218.75,515,219.625,529,220.25,504.75,222.25,541.5,245.25,495.5,252.75,551,282,493,292.75,557.5,315.75,501,326.75,546,319.75,517,323.75,558.5,369.5,520.5,374,563.5,417,522.5,415.5,Walking
5,524.5,224.125,528,219,518.5,219.625,532.5,220.625,508,222.125,544,245.75,498.5,252,552.5,282.75,495.25,292.25,560,316.75,503.5,327.25,548,320.75,518.5,324.25,560,370.75,521,375,563.5,417.5,522,415.75,Walking
6,528.5,224.25,532,219,522.5,219.625,536,220.5,511.5,221.5,547,246.25,501.75,251.375,554.5,283.25,497.5,291.25,561,317,505.5,326.25,549.5,321.5,520.5,324.5,560.5,372,522,375.5,563.5,418.25,522.5,415,Walking
7,532.5,224.25,536,219,526.5,219.625,540,220.75,515,221.25,549.5,246.375,504.75,250.75,556,283.75,499.5,290.75,562,317.25,508.5,325.5,552,321.5,522.5,324.25,561.5,372.5,523,375.25,563.5,418.5,522.5,414.25,Walking
8,536,224,539.5,218.75,530.5,219.25,543.5,220.25,518.5,220,551.5,246.375,507.5,250.25,558,284.5,502.5,290.75,563.5,318.5,512,325.25,554,321.75,524.5,324.25,563,372.5,524.5,375,563.5,418.5,523,413.5,Walking
9,539.5,223.5,543,218.25,534,218.625,547,218.5,522,219.5,554,246.375,510.25,248.875,559.5,283.25,505.25,288.75,565.5,317.5,515,324.25,555.5,321.75,527,323.5,564,372,526.5,373,564.5,417.5,522.5,412,Walking
10,543.5,222.25,547,217.25,538,217.5,551,218.125,526,218,557.5,244.875,514,247.5,563.5,282.75,508.5,287.75,569.5,317.25,518,321.5,559,320.25,529.5,322.25,565.5,372,526.5,373,565,417.5,523,412,Walking
11,546.5,221.5,550,216.625,541,216.625,553.5,218.25,528.5,217.625,560,244.25,517,246.375,569,282,511.5,286.75,572.5,317,522,320.5,562,320.5,532.5,322,567.5,372,528.5,372,565,417.25,524,411.5,Walking
